Ti,Zn,Sn,Cluster
0.1083423,0.71860617,0.17305149,1
0.032974601,0.75294894,0.2140765,1
0.11175871,0.69191331,0.19632801,1
0.085536405,0.7467972,0.16766639,1
0.081910498,0.76851958,0.1495699,1
0.064349301,0.80045342,0.1351973,1
0.052866608,0.82195884,0.12517451,1
0.045192,0.83176661,0.1230414,1
0.066681497,0.78321779,0.15010069,1
0.054983802,0.80473876,0.1402774,1
0.050798502,0.76057893,0.18862261,1
0.038319498,0.82832044,0.13336,1
0.045727197,0.81890708,0.13536568,1
0.089976303,0.71333772,0.196686,1
0.058088198,0.77973193,0.1621799,1
0.070304304,0.75388098,0.17581472,1
0.048038807,0.79513097,0.15683022,1
0.039967,0.80771101,0.15232199,1
0.0341869,0.8175261,0.148287,1
0.0973472,0.66612506,0.2365278,1
0.042397499,0.776353,0.1812495,1
0.031328898,0.79200327,0.17666788,1
0.035462204,0.78755689,0.17698091,1
0.0623638,0.7404924,0.19714381,1
0.078533806,0.70882422,0.21264192,1
0.044101499,0.7341249,0.22177361,1
0.037814602,0.74780917,0.21437623,1
0.066302396,0.68666959,0.24702801,1
0.053322602,0.7135846,0.2330928,1
0.045593802,0.68084633,0.2735599,1
0.038885001,0.69650942,0.26460561,1
0.033615798,0.7038725,0.2625117,1
0.031390596,0.63870734,0.32990208,2
0.1040499,0.52602321,0.3699269,2
0.12819889,0.51283276,0.35896835,2
0.069338493,0.57149023,0.35917127,2
0.084582701,0.54683101,0.3685863,2
0.0467875,0.6201489,0.33306357,2
0.058882192,0.59945422,0.34166354,2
0.0419534,0.62834173,0.32970488,2
0.13947409,0.35607436,0.50445157,2
0.2291891,0.3854216,0.3853893,2
0.1624238,0.37733662,0.46023959,2
0.19209601,0.3847771,0.42312691,2
0.187666,0.56828833,0.24404569,2
0.1506221,0.62139118,0.22798669,2
0.0354704,0.6354779,0.3290517,2
0.15806751,0.54456168,0.29737079,2
0.12839289,0.58216226,0.2894448,2
0.20376401,0.40221649,0.39401951,2
0.16991681,0.41091049,0.4191727,2
0.2311364,0.4100278,0.35883579,2
0.2396016,0.39213032,0.3682681,2
0.10388681,0.36128509,0.53482813,2
0.14346749,0.40003717,0.45649537,2
0.1210426,0.3795988,0.49935859,2
0.1469312,0.43983939,0.41322941,2
0.1801478,0.43528929,0.38456291,2
0.032576397,0.5756138,0.39180982,2
0.034953497,0.57683009,0.38821641,2
0.040364999,0.572721,0.38691399,2
0.0482652,0.55834931,0.3933855,2
0.21957131,0.41626,0.3641687,2
0.25056911,0.4036229,0.345808,2
0.26647741,0.40602151,0.32750112,2
0.10310119,0.47588861,0.4210102,2
0.085016102,0.485589,0.4293949,2
0.15283459,0.47082353,0.37634191,2
0.1261242,0.47332439,0.40055141,2
0.23216,0.42645061,0.34138939,2
0.18896271,0.45548761,0.35554969,2
0.27011186,0.41496328,0.31492487,2
0.26004842,0.41348344,0.32646811,2
0.1993265,0.50270051,0.29797301,2
0.069732398,0.50618887,0.4240787,2
0.056144405,0.53521532,0.40864027,2
0.029966701,0.50454867,0.46548459,2
0.1256061,0.42890429,0.44548962,2
0.1046652,0.42097437,0.47436038,2
0.085104093,0.42380577,0.49109018,2
0.068776898,0.44048679,0.49073631,2
0.056174193,0.46233603,0.48148975,2
0.045630202,0.48478222,0.46958759,2
0.0385984,0.49976027,0.46164131,2
0.03418,0.50524408,0.46057591,2
0.22301601,0.51090527,0.26607871,2
0.12056041,0.65599984,0.22343974,2
0.15351442,0.59480548,0.25168014,2
0.18995051,0.54212099,0.26792851,2
0.254255,0.47036159,0.27538338,2
0.22725677,0.48880517,0.28393805,2
0.1954474,0.52064168,0.2839109,2
0.1563351,0.5694297,0.27423519,2
0.1250072,0.61788219,0.2571106,2
0.2362705,0.46992612,0.29380339,2
0.1773423,0.33777389,0.48488382,2
0.25716296,0.45529497,0.28754207,2
0.056541499,0.65475404,0.28870448,2
0.0697565,0.6284852,0.30175832,2
0.084083594,0.60407925,0.31183717,2
0.10416089,0.57638597,0.31945315,2
0.12795651,0.55061007,0.32143345,2
0.15869561,0.5225994,0.31870499,2
0.1986056,0.48538131,0.3160131,2
0.2376311,0.45652989,0.305839,2
0.26056299,0.4390437,0.30039328,2
0.23182139,0.45688155,0.31129706,2
0.15460271,0.3399756,0.5054217,2
0.10257851,0.61868036,0.27874112,2
0.082308598,0.6536569,0.26403451,2
0.19446972,0.47073764,0.33479264,2
0.15706761,0.49747634,0.34545603,2
0.27250111,0.4258886,0.30161029,2
0.26058188,0.42702752,0.3123906,2
0.23798209,0.4408026,0.32121527,2
0.2135317,0.37982559,0.40664268,2
0.1817943,0.35873041,0.45947528,2
0.12028129,0.330764,0.54895473,3
0.039461099,0.4064433,0.55409563,3
0.055606093,0.39243397,0.55195993,3
0.034641899,0.41269162,0.55266649,3
0.07046809,0.36802548,0.56150645,3
0.058292799,0.38157427,0.56013292,3
0.086246796,0.35961264,0.55414057,3
0.071402706,0.15191582,0.77668142,3
0.11577179,0.19195318,0.69227499,3
0.09894871,0.17259623,0.72845507,3
0.085114203,0.1593879,0.75549787,3
0.052420691,0.15903069,0.78854859,3
0.058976091,0.16515718,0.77586669,3
0.044577397,0.1940455,0.7613771,3
0.13221079,0.22617331,0.64161593,3
0.1561473,0.2668485,0.57700419,3
0.0989234,0.1941148,0.70696181,3
0.11514719,0.20681177,0.67804098,3
0.0712341,0.17465521,0.75411069,3
0.083340198,0.18354219,0.73311758,3
0.085110515,0.21888453,0.69600493,3
0.071729004,0.2098112,0.71845978,3
0.11635569,0.24428619,0.6393581,3
0.097612895,0.2282678,0.67411923,3
0.15229049,0.29585171,0.55185777,3
0.059839908,0.20109552,0.73906457,3
0.050019398,0.19264799,0.75733262,3
0.1336381,0.2656821,0.60067981,3
0.10010351,0.27059203,0.62930447,3
0.1185075,0.286452,0.5950405,3
0.13679771,0.3104035,0.55279881,3
0.0491569,0.2460479,0.70479524,3
0.05844,0.2535409,0.6880191,3
0.070076406,0.25814742,0.67177618,3
0.084086202,0.2617811,0.65413266,3
0.0358335,0.2489109,0.71525556,3
0.041568603,0.24287012,0.71556127,3
0.1016954,0.31624201,0.5820626,3
0.085499197,0.31106931,0.60343152,3
0.071404703,0.31013229,0.61846298,3
0.058360096,0.31468469,0.62695521,3
0.048405204,0.31931022,0.63228452,3
0.040378798,0.31835151,0.64126968,3
0.034283105,0.32360905,0.64210784,3
0.029002801,0.63865942,0.3323378,3
0.028798997,0.75345695,0.21774408,3
0.031384099,0.41364041,0.55497551,3
0.0315721,0.41311491,0.55531299,3
0.059679199,0.1467154,0.79360545,3
0.043823503,0.1613581,0.79481834,3
0.0301283,0.57124919,0.39862251,3
0.037661601,0.1980153,0.76432312,3
0.028808201,0.50014329,0.4710485,3
0.032919899,0.83635718,0.13072291,3
0.02933,0.81838042,0.1522896,3
0.033272203,0.25904462,0.70768321,3
0.027254099,0.79266161,0.1800843,3
0.0272949,0.70345885,0.26924619,3
0.029759699,0.70582122,0.26441911,3
0.032375101,0.33020601,0.63741893,3
